type,location,vendor_id,install_date,warranty_period,health_score,health_category,status,condition,description,serial_number,model,manufacturer
Elastic Rail Clip,Platform 1 Section A,RailTech Industries,2023-01-15,36,85,Good,active,good,High-strength elastic rail clip for platform section,ERC-001,Model-X,ClipCorp
Rail Pad,Junction Point B-12,TrackMaster Corp,2023-02-20,24,92,Excellent,active,excellent,Vibration dampening rail pad with enhanced durability,RP-001,Heavy-Duty,PadTech
Liner,Bridge Crossing C-45,ClipCorp Solutions,2022-12-10,60,78,Good,under_maintenance,good,Track liner component requiring scheduled maintenance,LNR-001,Pro-Line,LinerCorp
Sleeper,Platform 2 Section D,PadTech Industries,2023-03-05,30,88,Good,active,good,Concrete railway sleeper with reinforcement,SLP-001,Heavy-Duty,SleeperTech
Elastic Rail Clip,Junction Point E-67,RailTech Industries,2023-01-22,36,73,Ok,active,ok,Standard elastic rail clip with moderate wear,ERC-002,Model-X,ClipCorp
Rail Pad,Maintenance Yard F,TrackMaster Corp,2023-04-18,24,95,Excellent,active,excellent,Premium vibration dampening pad for high-traffic area,RP-002,Ultra-Heavy,PadTech
Liner,Bridge Section G-89,ClipCorp Solutions,2022-11-30,60,45,Critical,under_maintenance,critical,Track liner showing signs of wear requiring immediate attention,LNR-002,Pro-Line,LinerCorp
Sleeper,Platform 3 Section H,PadTech Industries,2023-02-15,30,82,Good,active,good,Precast concrete sleeper with standard specifications,SLP-002,Standard,SleeperTech
Elastic Rail Clip,Signal Box Area I,RailTech Industries,2023-03-12,36,67,Ok,active,ok,Rail clip in signal control area with regular inspection,ERC-003,Model-Y,ClipCorp
Rail Pad,Depot Junction J-34,TrackMaster Corp,2023-05-08,24,89,Good,active,good,High-performance rail pad for depot operations,RP-003,Depot-Grade,PadTech
Liner,Tunnel Section K-12,ClipCorp Solutions,2022-10-25,60,91,Excellent,active,excellent,Tunnel-grade liner with enhanced corrosion resistance,LNR-003,Tunnel-Pro,LinerCorp
Sleeper,Freight Yard L-56,PadTech Industries,2023-01-30,30,76,Good,active,good,Heavy-duty sleeper for freight operations,SLP-003,Freight-Heavy,SleeperTech
Elastic Rail Clip,Station Platform M,RailTech Industries,2023-04-05,36,84,Good,active,good,Platform rail clip with passenger safety certification,ERC-004,Station-Grade,ClipCorp
Rail Pad,Express Line N-78,TrackMaster Corp,2023-06-12,24,93,Excellent,active,excellent,High-speed rail pad for express train operations,RP-004,Express-Pro,PadTech
Liner,Curve Section O-23,ClipCorp Solutions,2022-09-18,60,62,Ok,active,ok,Curved track liner with specialized geometry,LNR-004,Curve-Spec,LinerCorp
Sleeper,Industrial Siding P,PadTech Industries,2023-02-28,30,71,Ok,active,ok,Industrial-grade sleeper for heavy cargo loads,SLP-004,Industrial,SleeperTech
Elastic Rail Clip,Maintenance Shop Q,RailTech Industries,2023-05-15,36,39,Critical,under_maintenance,critical,Shop area rail clip requiring urgent replacement,ERC-005,Workshop,ClipCorp
Rail Pad,Loading Dock R-45,TrackMaster Corp,2023-07-22,24,87,Good,active,good,Specialized pad for loading dock operations,RP-005,Dock-Spec,PadTech
Liner,Switching Yard S-67,ClipCorp Solutions,2022-08-14,60,94,Excellent,active,excellent,Switching yard liner with enhanced durability,LNR-005,Switch-Pro,LinerCorp
Sleeper,Passenger Terminal T,PadTech Industries,2023-03-18,30,79,Good,active,good,Terminal sleeper with aesthetic considerations,SLP-005,Terminal-Grade,SleeperTech
