type,location,vendor_id,install_date,warranty_period,health_score,status,description,serial_number,model,manufacturer
Elastic Rail Clip,Platform 1,3fa85f64-5717-4562-b3fc-2c963f66afa6,2023-01-15,36,85,active,Elastic clip for securing rail sections,ERC-1001,ERC-X1,ClipCorp
Rail Pad,Section A,2c9f1e8a-8a1d-4c2a-9f5b-1f1b8c9d4e11,2023-02-20,24,92,active,Vibration dampening rail pad,RP-2001,RP-PRO,PadTech
Liner,Bridge-01,4b6d9a12-3f3b-4d9d-9c3e-0c1a2b3c4d55,2022-12-10,60,78,needs_maintenance,Protective liner for bridge supports,LNR-3001,LNR-STD,LinerCorp
Sleeper,Platform 2,3fa85f64-5717-4562-b3fc-2c963f66afa6,2023-03-05,30,88,active,Concrete sleeper for track stability,SLP-4001,SLP-HD,SleeperTech
Elastic Rail Clip,Section B,2c9f1e8a-8a1d-4c2a-9f5b-1f1b8c9d4e11,2023-04-12,36,81,active,Replacement elastic clip ERC-1002,ERC-1002,ERC-X2,ClipCorp
Rail Pad,Section C,4b6d9a12-3f3b-4d9d-9c3e-0c1a2b3c4d55,2023-05-30,24,90,active,High-durability rail pad RP-2002,RP-2002,RP-PRO,PadTech
Liner,Platform 3,6a7b8c9d-0e1f-4a2b-8c7d-9e0f1a2b3c44,2022-11-01,60,76,needs_maintenance,Bridge liner LNR-3002,LNR-3002,LNR-STD,LinerCorp
Sleeper,Section D,3fa85f64-5717-4562-b3fc-2c963f66afa6,2023-06-18,30,84,active,Concrete sleeper SLP-4002,SLP-4002,SLP-HD,SleeperTech
Elastic Rail Clip,Platform 4,5d2a1f3b-6c7d-4e8f-9b0a-1c2d3e4f5a66,2023-07-22,36,87,active,Elastic clip ERC-1003,ERC-1003,ERC-X3,ClipCorp
Rail Pad,Section E,2c9f1e8a-8a1d-4c2a-9f5b-1f1b8c9d4e11,2023-08-10,24,91,active,Rail pad RP-2003,RP-2003,RP-PRO,PadTech
Liner,Bridge-02,4b6d9a12-3f3b-4d9d-9c3e-0c1a2b3c4d55,2023-01-18,60,80,active,Liner LNR-3003,LNR-3003,LNR-STD,LinerCorp
Sleeper,Platform 5,6a7b8c9d-0e1f-4a2b-8c7d-9e0f1a2b3c44,2023-02-25,30,86,active,Sleeper SLP-4003,SLP-4003,SLP-HD,SleeperTech
Elastic Rail Clip,Section F,3fa85f64-5717-4562-b3fc-2c963f66afa6,2023-03-27,36,82,active,Elastic clip ERC-1004,ERC-1004,ERC-X4,ClipCorp
Rail Pad,Section G,2c9f1e8a-8a1d-4c2a-9f5b-1f1b8c9d4e11,2023-04-14,24,89,active,Rail pad RP-2004,RP-2004,RP-PRO,PadTech
Liner,Platform 6,4b6d9a12-3f3b-4d9d-9c3e-0c1a2b3c4d55,2023-05-20,60,77,needs_maintenance,Liner LNR-3004,LNR-3004,LNR-STD,LinerCorp
Sleeper,Section H,6a7b8c9d-0e1f-4a2b-8c7d-9e0f1a2b3c44,2023-06-30,30,83,active,Sleeper SLP-4004,SLP-4004,SLP-HD,SleeperTech
Elastic Rail Clip,Platform 7,5d2a1f3b-6c7d-4e8f-9b0a-1c2d3e4f5a66,2023-07-11,36,88,active,Elastic clip ERC-1005,ERC-1005,ERC-X5,ClipCorp
Rail Pad,Section I,3fa85f64-5717-4562-b3fc-2c963f66afa6,2023-08-05,24,93,active,Rail pad RP-2005,RP-2005,RP-PRO,PadTech
Liner,Bridge-03,2c9f1e8a-8a1d-4c2a-9f5b-1f1b8c9d4e11,2023-01-09,60,79,needs_maintenance,Liner LNR-3005,LNR-3005,LNR-STD,LinerCorp
Sleeper,Platform 8,4b6d9a12-3f3b-4d9d-9c3e-0c1a2b3c4d55,2023-02-14,30,85,active,Sleeper SLP-4005,SLP-4005,SLP-HD,SleeperTech
Elastic Rail Clip,Section J,6a7b8c9d-0e1f-4a2b-8c7d-9e0f1a2b3c44,2023-03-21,36,80,active,Elastic clip ERC-1006,ERC-1006,ERC-X6,ClipCorp
